 2019-04-26 01:27:39.943581 80.4, 2.2, 84.3, 85.3, 95.9, 84.4, 87.0, 81.3, 81.5, 84.6, 83.8, 85.2, 85.5, 80.8, 85.6, 84.0, 84.5 
 2019-04-26 01:27:41.511070 37.1, 6.0, 29.5, 35.7, 53.4, 35.3, 34.2, 32.4, 35.7, 33.6, 32.5, 35.3, 52.7, 35.3, 33.8, 35.1, 35.3 
 2019-04-26 01:27:43.074944 35.9, 39.3, 29.6, 34.8, 40.4, 33.1, 37.2, 35.3, 32.7, 34.0, 33.5, 9.3, 37.2, 33.1, 32.2, 36.3, 35.3 
 2019-04-26 01:27:44.639943 46.1, 53.5, 44.2, 45.3, 59.3, 44.6, 43.7, 41.6, 42.2, 42.8, 42.9, 0.6, 65.4, 43.1, 43.7, 39.7, 46.4 
 2019-04-26 01:27:46.246082 52.4, 57.7, 47.8, 48.8, 72.8, 47.5, 54.4, 48.8, 48.8, 39.4, 38.9, 0.0, 87.7, 49.7, 51.6, 44.7, 50.3 
 2019-04-26 01:27:47.898601 77.8, 83.2, 78.4, 78.7, 83.1, 77.2, 78.2, 78.9, 78.0, 78.7, 78.0, 75.6, 73.6, 78.8, 77.4, 79.8, 70.6 
 2019-04-26 01:27:49.539693 60.7, 63.8, 58.3, 62.2, 70.4, 61.1, 59.8, 61.3, 59.0, 61.5, 59.5, 59.5, 84.3, 60.9, 60.5, 61.0, 56.1 
 2019-04-26 01:27:51.245745 52.7, 55.3, 48.0, 19.9, 77.3, 40.9, 47.4, 46.4, 48.1, 46.3, 46.3, 48.7, 80.8, 48.3, 44.2, 49.0, 41.7 
 2019-04-26 01:27:52.820504 61.3, 63.8, 61.0, 48.7, 83.6, 60.1, 62.0, 61.0, 60.8, 58.6, 59.9, 55.0, 71.9, 60.1, 59.6, 62.1, 61.4 
 2019-04-26 01:27:54.424929 82.3, 79.6, 79.2, 80.2, 91.3, 80.0, 80.6, 80.9, 79.2, 14.6, 78.6, 74.2, 78.8, 79.9, 80.1, 80.9, 82.9 
 2019-04-26 01:27:56.065036 80.6, 71.6, 81.0, 77.2, 88.5, 65.3, 82.0, 62.7, 80.0, 63.2, 69.9, 21.8, 74.5, 71.1, 78.1, 62.9, 79.5 
 2019-04-26 01:27:57.640490 71.4, 58.3, 61.6, 53.2, 88.5, 63.3, 65.3, 47.3, 63.4, 9.0, 64.7, 64.5, 88.7, 64.9, 63.6, 39.6, 70.2 
 2019-04-26 01:27:59.213055 79.1, 80.0, 74.0, 43.8, 90.3, 35.7, 74.8, 74.5, 74.4, 37.6, 74.0, 76.1, 82.7, 75.8, 80.0, 76.3, 78.8 
 2019-04-26 01:28:00.783198 71.2, 72.9, 63.3, 67.8, 78.3, 60.7, 68.8, 41.9, 68.9, 44.6, 61.7, 68.6, 88.1, 68.4, 67.3, 69.9, 72.4 
 2019-04-26 01:28:02.352182 70.3, 75.8, 70.9, 71.0, 71.5, 70.5, 70.7, 54.5, 72.5, 71.5, 70.1, 71.6, 81.9, 71.2, 70.9, 71.7, 64.2 
 2019-04-26 01:28:03.962385 13.1, 13.1, 10.2, 10.3, 17.3, 12.7, 9.6, 11.5, 7.8, 11.5, 2.6, 10.9, 13.2, 12.7, 7.2, 11.5, 13.1 
 2019-04-26 01:28:05.539784 19.1, 5.4, 11.7, 10.6, 14.5, 12.1, 11.6, 2.6, 5.4, 10.7, 9.1, 10.4, 24.0, 8.6, 7.3, 10.4, 17.2 
 2019-04-26 01:28:07.099119 14.8, 1.4, 3.9, 12.7, 15.5, 9.9, 11.3, 5.2, 7.3, 11.0, 8.6, 10.4, 33.0, 8.7, 9.7, 10.5, 12.7 
 2019-04-26 01:28:08.666474 14.0, 0.7, 5.1, 8.6, 12.8, 9.7, 10.9, 10.3, 7.8, 9.1, 6.6, 0.0, 21.0, 11.5, 17.4, 9.1, 14.5 
 2019-04-26 01:28:10.243490 17.8, 0.7, 0.0, 10.3, 20.2, 12.6, 12.8, 10.9, 10.4, 11.0, 11.9, 4.4, 27.4, 9.7, 10.1, 11.0, 20.1 
 2019-04-26 01:28:11.850714 17.8, 11.2, 7.1, 13.5, 22.9, 11.9, 16.3, 1.3, 15.5, 11.3, 12.2, 13.0, 34.1, 10.7, 11.1, 11.3, 15.9 
 2019-04-26 01:28:13.414596 13.9, 15.2, 0.6, 11.6, 24.5, 10.3, 7.4, 10.3, 10.3, 6.5, 8.5, 11.0, 29.8, 11.0, 9.6, 9.2, 12.6 
 2019-04-26 01:28:14.986861 13.9, 17.0, 2.5, 11.2, 24.3, 9.6, 10.7, 11.3, 11.4, 0.6, 7.1, 8.9, 20.7, 10.1, 9.3, 7.0, 15.0 
 2019-04-26 01:28:16.615255 20.3, 16.7, 11.0, 0.0, 16.8, 5.1, 13.8, 14.3, 12.1, 0.0, 9.1, 11.8, 33.3, 12.8, 10.3, 0.0, 22.6 
 2019-04-26 01:28:18.197345 19.1, 21.4, 12.2, 5.8, 27.6, 9.3, 10.9, 5.9, 7.9, 9.7, 11.0, 10.5, 9.5, 11.8, 11.8, 0.0, 19.5 
 2019-04-26 01:28:19.765150 15.5, 13.8, 9.1, 7.4, 13.5, 9.9, 9.2, 3.7, 10.8, 8.7, 8.6, 11.0, 29.3, 8.8, 6.9, 0.6, 15.3 
 2019-04-26 01:28:21.423631 18.7, 16.4, 0.6, 0.0, 17.2, 11.5, 12.9, 5.9, 10.2, 9.7, 8.5, 11.0, 28.2, 12.7, 9.6, 10.4, 20.1 
 2019-04-26 01:28:23.011560 20.5, 17.3, 1.3, 0.6, 19.0, 12.7, 10.6, 7.1, 7.3, 10.5, 10.8, 13.8, 13.1, 8.1, 12.7, 13.3, 14.7 
 2019-04-26 01:28:24.581058 19.0, 17.1, 0.6, 4.5, 12.8, 7.4, 8.6, 11.0, 10.3, 11.0, 6.7, 10.5, 29.4, 9.8, 8.5, 10.5, 15.5 
 2019-04-26 01:28:26.145537 9.8, 15.1, 6.7, 15.4, 7.0, 12.2, 11.7, 5.6, 9.2, 9.3, 7.5, 13.2, 40.0, 12.0, 9.2, 11.6, 10.5 
 2019-04-26 01:28:27.803573 19.0, 16.8, 12.2, 14.4, 13.7, 8.5, 11.4, 0.6, 10.5, 11.2, 2.6, 13.0, 37.6, 14.6, 10.4, 11.8, 17.6 
 2019-04-26 01:28:29.367370 15.8, 19.3, 0.6, 11.0, 16.7, 3.8, 21.0, 7.5, 7.8, 10.3, 7.8, 9.9, 27.6, 0.6, 10.7, 13.2, 18.3 
 2019-04-26 01:28:30.948247 13.8, 15.0, 0.0, 10.3, 10.2, 10.3, 8.4, 10.9, 7.2, 10.3, 6.6, 10.3, 25.3, 0.0, 6.6, 9.1, 15.2 
 2019-04-26 01:28:32.519464 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 1.3, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.6, 2.5 
 2019-04-26 01:28:34.075341 0.6, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.6, 0.0, 1.3 
 
