 2019-04-26 00:54:21.018407 37.7, 33.1, 0.0, 1.9, 75.9, 22.0, 36.6, 43.3, 0.6 
 2019-04-26 00:54:22.580702 38.3, 32.7, 0.6, 1.9, 83.6, 22.1, 38.6, 45.2, 0.0 
 2019-04-26 00:54:24.165012 34.2, 27.3, 0.0, 2.5, 77.8, 23.0, 29.6, 37.6, 0.6 
 2019-04-26 00:54:25.753013 28.2, 27.0, 6.4, 1.9, 75.0, 31.2, 16.4, 38.4, 2.5 
 2019-04-26 00:54:27.312954 36.5, 27.3, 5.8, 1.3, 80.3, 21.9, 15.6, 39.2, 19.9 
 2019-04-26 00:54:28.885009 36.9, 30.3, 0.0, 1.9, 79.3, 27.8, 18.7, 40.1, 21.8 
 2019-04-26 00:54:30.454611 31.5, 27.8, 1.9, 1.9, 77.4, 18.9, 14.8, 36.8, 15.6 
 2019-04-26 00:54:32.020615 32.0, 15.5, 0.0, 3.2, 85.4, 17.0, 14.3, 39.7, 17.6 
 2019-04-26 00:54:33.586478 27.0, 31.1, 0.0, 21.5, 90.6, 20.5, 8.8, 21.1, 36.2 
 2019-04-26 00:54:35.198915 27.8, 33.1, 0.6, 9.0, 85.7, 23.8, 21.6, 22.0, 36.8 
 2019-04-26 00:54:36.850232 26.0, 20.6, 0.0, 10.5, 80.9, 38.5, 3.9, 28.9, 12.3 
 2019-04-26 00:54:38.411046 16.8, 23.9, 0.6, 12.3, 74.5, 59.6, 0.0, 10.2, 36.4 
 2019-04-26 00:54:39.981686 18.3, 27.7, 4.7, 1.8, 78.8, 58.6, 0.6, 19.1, 33.1 
 2019-04-26 00:54:41.677010 4.6, 29.9, 16.7, 20.7, 83.5, 56.3, 0.0, 19.0, 11.7 
 2019-04-26 00:54:43.243003 0.0, 0.7, 0.6, 1.9, 0.0, 0.0, 0.6, 0.0, 0.0 
 2019-04-26 00:54:44.842539 0.0, 0.0, 0.0, 1.9, 0.6, 0.0, 1.3, 0.0, 0.0 
 
