 2019-04-26 01:35:19.652479 35.6, 2.2, 50.7, 1.9, 44.8, 0.0, 46.9, 5.1, 36.3, 1.3, 5.8, 1.3, 7.4, 5.8, 48.9, 0.6, 48.1, 1.3, 50.7, 2.6, 33.8, 0.0, 43.4, 4.5, 43.3, 0.6, 6.5, 1.3, 7.0, 5.8, 47.1, 0.6, 45.7 
 2019-04-26 01:35:21.210590 19.1, 4.2, 37.7, 0.6, 29.6, 4.4, 31.7, 2.5, 19.9, 0.0, 5.0, 1.3, 14.1, 0.6, 34.6, 4.3, 39.9, 3.7, 36.9, 0.6, 20.4, 3.1, 29.5, 3.7, 31.1, 0.6, 8.3, 1.9, 12.2, 0.6, 36.1, 3.1, 36.8 
 2019-04-26 01:35:22.820113 37.3, 8.6, 52.7, 0.6, 43.7, 5.6, 48.3, 5.5, 36.6, 3.7, 7.6, 8.6, 11.5, 1.2, 49.3, 0.6, 55.5, 5.7, 52.4, 0.6, 33.5, 6.2, 45.2, 4.3, 44.8, 2.5, 8.2, 7.5, 11.7, 1.2, 47.9, 0.6, 52.6 
 2019-04-26 01:35:24.438183 30.6, 8.1, 42.8, 10.4, 39.3, 3.8, 41.9, 1.9, 25.8, 5.7, 6.3, 5.7, 16.2, 0.0, 43.1, 0.0, 40.7, 2.6, 46.7, 12.2, 28.0, 3.8, 39.1, 1.3, 32.9, 5.1, 4.5, 4.5, 12.3, 0.0, 39.4, 0.0, 38.9 
 2019-04-26 01:35:26.016354 24.8, 2.2, 37.1, 1.3, 31.0, 1.9, 42.3, 0.0, 21.7, 0.6, 2.6, 1.3, 7.6, 0.0, 37.6, 1.9, 44.1, 1.3, 38.4, 0.6, 21.0, 1.9, 35.0, 0.0, 34.5, 0.6, 3.9, 1.3, 5.6, 0.0, 38.1, 0.6, 39.7 
 2019-04-26 01:35:27.583885 43.2, 6.5, 50.3, 2.5, 44.3, 4.4, 53.6, 9.7, 36.9, 0.0, 13.8, 0.0, 18.7, 5.6, 50.7, 5.0, 55.9, 6.3, 52.4, 3.1, 35.3, 3.1, 51.1, 9.6, 42.6, 0.0, 13.3, 0.6, 17.6, 6.8, 52.3, 5.6, 53.9 
 2019-04-26 01:35:29.187235 25.6, 2.2, 34.7, 4.3, 29.4, 1.2, 37.5, 3.7, 20.1, 0.0, 9.5, 0.0, 14.4, 3.1, 36.6, 11.8, 42.7, 1.9, 39.7, 3.8, 18.6, 1.9, 36.8, 3.8, 31.5, 0.0, 9.4, 0.0, 19.3, 1.3, 35.9, 12.3, 40.3 
 2019-04-26 01:35:30.789745 34.6, 2.9, 42.5, 3.9, 37.8, 0.6, 43.8, 0.6, 24.2, 1.3, 5.9, 3.2, 20.1, 1.3, 43.0, 1.3, 52.3, 4.5, 38.2, 3.9, 26.9, 0.0, 38.4, 0.6, 37.8, 1.3, 5.9, 3.2, 18.5, 1.3, 43.4, 0.6, 46.6 
 2019-04-26 01:35:32.355597 36.7, 16.9, 48.9, 2.5, 44.2, 12.1, 48.3, 13.5, 32.3, 2.5, 14.6, 0.6, 12.1, 13.3, 48.3, 3.2, 50.4, 13.0, 49.3, 2.5, 33.6, 8.3, 48.3, 13.0, 42.1, 4.5, 14.2, 0.0, 14.2, 11.7, 48.6, 3.2, 48.3 
 2019-04-26 01:35:33.927389 77.2, 50.7, 70.1, 53.5, 64.9, 56.1, 82.5, 41.1, 65.7, 1.2, 51.6, 48.1, 87.0, 44.8, 70.8, 13.7, 84.7, 45.1, 73.6, 54.1, 61.9, 55.0, 86.2, 41.7, 70.3, 8.7, 51.2, 48.4, 87.0, 43.8, 71.3, 14.2, 81.4 
 2019-04-26 01:35:35.551819 72.1, 51.0, 79.7, 39.2, 78.5, 51.6, 81.9, 52.9, 64.1, 42.6, 53.6, 22.0, 85.7, 44.2, 80.4, 52.3, 86.3, 48.7, 80.4, 38.6, 68.8, 52.3, 86.8, 52.9, 76.9, 42.9, 49.4, 22.1, 85.9, 44.8, 78.9, 51.9, 79.9 
 2019-04-26 01:35:37.123474 83.7, 88.6, 80.0, 86.9, 88.6, 86.9, 81.7, 87.1, 85.3, 87.9, 80.4, 85.5, 82.0, 87.9, 88.7, 86.0, 68.5, 84.0, 80.5, 88.2, 87.2, 87.2, 89.0, 85.8, 89.5, 85.1, 80.9, 61.8, 91.2, 87.2, 88.8, 87.5, 89.9 
 2019-04-26 01:35:38.705986 64.9, 49.7, 73.0, 48.1, 66.9, 43.7, 72.7, 29.3, 49.4, 22.9, 50.0, 49.0, 83.2, 37.2, 69.7, 50.3, 82.6, 43.0, 74.2, 43.9, 60.1, 41.1, 79.3, 29.4, 54.9, 20.0, 48.4, 46.8, 83.3, 36.1, 66.2, 48.4, 75.7 
 2019-04-26 01:35:40.292448 87.7, 88.2, 90.3, 88.1, 89.5, 89.0, 73.9, 88.7, 87.4, 83.9, 87.5, 88.2, 75.5, 88.5, 89.3, 88.2, 90.9, 85.9, 89.4, 87.2, 87.5, 88.8, 87.2, 84.3, 89.3, 52.9, 87.6, 88.8, 91.4, 89.1, 89.4, 88.6, 89.5 
 2019-04-26 01:35:41.865126 65.5, 30.5, 72.4, 12.3, 53.8, 26.8, 77.1, 19.1, 38.4, 22.9, 33.8, 15.5, 74.3, 22.2, 69.9, 23.9, 83.8, 28.7, 77.0, 20.3, 44.9, 27.6, 83.8, 20.8, 47.5, 28.0, 32.0, 16.0, 74.3, 23.9, 71.4, 23.5, 75.5 
 2019-04-26 01:35:43.437165 85.8, 83.6, 88.7, 84.3, 88.3, 85.2, 88.6, 87.7, 87.1, 82.0, 65.1, 47.7, 89.2, 36.8, 80.1, 35.5, 87.1, 80.1, 88.7, 83.8, 85.6, 85.5, 90.0, 86.6, 85.7, 81.2, 68.0, 47.1, 90.1, 34.8, 78.5, 37.6, 88.0 
 2019-04-26 01:35:45.009043 71.7, 71.3, 76.4, 64.3, 77.3, 64.3, 80.3, 64.3, 66.0, 47.4, 63.0, 63.7, 86.5, 59.0, 68.0, 63.6, 84.1, 60.5, 76.8, 63.8, 50.7, 63.4, 84.8, 65.4, 76.0, 58.4, 62.5, 63.9, 86.8, 61.9, 73.8, 63.4, 74.5 
 2019-04-26 01:35:46.575930 70.5, 59.0, 77.3, 59.2, 78.3, 63.1, 79.3, 38.6, 68.0, 58.8, 63.9, 32.1, 85.8, 62.1, 80.8, 29.3, 83.9, 49.4, 80.3, 60.0, 69.5, 62.8, 84.8, 38.5, 78.4, 58.1, 60.7, 30.1, 86.4, 61.9, 79.5, 23.5, 80.0 
 2019-04-26 01:35:48.135836 86.1, 86.3, 86.4, 84.3, 85.2, 76.7, 87.9, 74.5, 66.9, 81.4, 69.8, 82.8, 91.0, 66.9, 89.2, 83.9, 86.6, 42.9, 86.3, 84.3, 81.9, 76.3, 89.9, 74.4, 71.0, 80.7, 62.0, 82.6, 91.2, 67.5, 89.2, 84.9, 84.7 
 2019-04-26 01:35:49.776927 59.6, 44.2, 70.3, 39.6, 69.6, 42.1, 73.1, 39.0, 55.3, 38.9, 39.6, 39.5, 79.5, 32.3, 71.9, 28.0, 78.9, 42.0, 73.2, 38.6, 54.8, 43.1, 81.4, 35.4, 70.1, 38.5, 33.8, 38.1, 80.7, 31.0, 69.1, 22.0, 69.2 
 2019-04-26 01:35:51.368455 84.3, 88.9, 86.9, 85.8, 87.1, 85.6, 86.8, 75.6, 85.4, 74.5, 84.8, 84.8, 65.1, 84.8, 86.8, 85.5, 88.2, 85.4, 86.6, 85.4, 84.8, 85.2, 89.0, 73.0, 86.7, 85.3, 85.1, 85.8, 40.7, 85.1, 86.8, 85.4, 86.8 
 2019-04-26 01:35:52.949050 50.3, 34.7, 63.4, 28.0, 59.9, 24.5, 67.3, 34.2, 44.5, 29.6, 31.5, 20.9, 76.2, 34.8, 66.0, 36.6, 74.1, 31.0, 67.1, 26.9, 41.7, 25.9, 77.1, 34.8, 66.4, 28.5, 29.4, 18.1, 75.9, 32.5, 63.4, 37.3, 64.2 
 2019-04-26 01:35:54.564153 86.8, 90.0, 88.7, 87.2, 88.7, 87.1, 87.9, 51.7, 86.3, 69.0, 80.8, 86.8, 88.1, 87.1, 80.7, 86.8, 89.5, 87.8, 88.7, 86.7, 83.8, 86.7, 89.9, 86.2, 86.0, 87.0, 87.2, 87.3, 88.1, 86.9, 78.9, 86.9, 88.7 
 2019-04-26 01:35:56.132953 49.3, 34.8, 61.7, 23.2, 59.2, 24.2, 68.1, 23.1, 37.7, 22.4, 24.8, 22.6, 79.4, 14.9, 57.6, 23.7, 76.1, 30.3, 63.6, 21.6, 41.3, 22.9, 75.0, 21.9, 57.7, 24.8, 24.4, 23.4, 81.0, 27.1, 59.7, 22.9, 59.0 
 2019-04-26 01:35:57.699811 86.3, 79.6, 83.1, 84.8, 89.6, 86.8, 89.3, 84.9, 87.7, 85.6, 88.5, 76.3, 90.9, 88.7, 89.9, 87.9, 90.7, 85.2, 89.5, 85.0, 87.2, 87.5, 90.8, 84.7, 75.5, 88.2, 86.5, 89.0, 90.8, 66.9, 90.2, 86.9, 88.9 
 2019-04-26 01:35:59.261151 64.9, 47.8, 65.0, 45.6, 68.5, 50.6, 76.4, 48.1, 52.6, 49.7, 46.2, 46.8, 84.1, 48.4, 64.1, 49.0, 73.1, 45.9, 70.2, 45.6, 56.7, 49.0, 81.4, 51.2, 65.1, 48.7, 46.2, 46.8, 85.5, 48.1, 59.7, 50.3, 73.2 
 2019-04-26 01:36:00.847804 74.8, 59.5, 80.6, 58.1, 80.1, 48.7, 81.5, 58.3, 72.9, 50.0, 65.1, 48.7, 85.4, 38.9, 75.7, 54.6, 81.8, 49.0, 82.2, 57.4, 73.1, 48.7, 85.2, 59.0, 80.4, 50.3, 65.4, 48.4, 85.9, 29.9, 66.9, 53.5, 80.3 
 2019-04-26 01:36:02.437997 37.5, 27.7, 39.9, 25.5, 40.0, 19.0, 48.9, 24.8, 31.0, 23.5, 25.0, 24.2, 58.5, 29.0, 35.2, 22.7, 56.8, 19.9, 41.8, 25.5, 29.8, 16.8, 59.5, 22.9, 40.4, 10.9, 24.3, 25.8, 57.7, 28.8, 37.8, 21.7, 47.6 
 2019-04-26 01:36:04.002994 8.9, 5.6, 11.6, 0.0, 12.1, 1.9, 16.0, 1.3, 5.8, 0.0, 1.2, 0.6, 20.7, 3.1, 13.5, 0.0, 18.3, 2.5, 18.7, 1.2, 8.2, 1.3, 13.7, 0.6, 13.3, 0.0, 1.9, 1.2, 17.1, 5.0, 11.0, 0.0, 12.1 
 2019-04-26 01:36:05.604124 8.3, 11.9, 6.2, 0.0, 7.4, 5.3, 10.9, 5.0, 5.8, 0.0, 0.0, 0.6, 0.0, 8.9, 9.4, 3.2, 10.1, 6.5, 9.4, 0.0, 5.7, 6.5, 10.8, 5.2, 8.7, 0.6, 0.0, 0.0, 1.4, 3.2, 7.4, 2.5, 8.2 
 2019-04-26 01:36:07.187973 7.3, 8.1, 10.2, 0.6, 7.5, 5.8, 8.2, 7.8, 2.6, 0.0, 0.6, 0.0, 2.1, 6.6, 7.0, 8.9, 9.0, 7.7, 8.2, 0.0, 4.6, 5.8, 10.1, 8.3, 6.3, 0.0, 0.6, 0.6, 0.0, 5.9, 6.2, 5.2, 9.0 
 2019-04-26 01:36:08.745941 9.1, 7.6, 7.6, 0.6, 4.9, 6.5, 7.7, 6.0, 6.5, 0.0, 0.0, 0.0, 0.0, 8.3, 5.7, 4.0, 7.2, 7.8, 6.9, 0.6, 5.2, 5.3, 9.0, 7.8, 6.2, 0.0, 0.6, 0.0, 1.4, 7.1, 8.8, 6.5, 9.7 
 2019-04-26 01:36:10.310031 10.0, 10.0, 8.8, 4.5, 6.7, 5.8, 7.5, 8.8, 6.3, 0.6, 0.0, 0.0, 2.1, 5.8, 8.2, 5.8, 6.6, 7.6, 4.2, 5.0, 7.0, 6.4, 7.9, 8.8, 9.9, 0.0, 0.0, 0.0, 2.8, 7.0, 8.2, 7.6, 9.0 
 2019-04-26 01:36:11.904659 7.7, 0.0, 4.3, 9.5, 4.3, 5.3, 6.9, 3.9, 6.5, 0.0, 3.3, 0.0, 6.5, 0.0, 8.2, 2.6, 7.1, 1.3, 2.1, 8.2, 9.0, 4.7, 6.6, 7.0, 8.4, 0.0, 2.6, 0.0, 8.6, 0.0, 6.2, 3.3, 7.5 
 2019-04-26 01:36:13.458769 6.3, 0.7, 6.0, 6.8, 5.4, 6.2, 6.7, 5.1, 5.0, 0.0, 4.4, 0.0, 6.9, 0.0, 6.1, 3.7, 5.0, 0.0, 4.8, 5.7, 3.8, 6.9, 10.3, 3.8, 5.9, 0.0, 5.0, 0.0, 8.4, 0.0, 4.6, 4.4, 6.6 
 2019-04-26 01:36:15.083351 9.2, 0.0, 5.6, 9.1, 4.3, 5.3, 8.4, 1.3, 7.8, 1.9, 5.1, 0.0, 10.0, 1.3, 8.3, 0.6, 12.9, 0.0, 9.1, 9.0, 6.5, 7.8, 13.4, 1.3, 7.0, 2.5, 3.2, 0.6, 9.3, 0.0, 9.3, 0.6, 10.2 
 2019-04-26 01:36:16.648377 8.4, 4.3, 6.2, 7.1, 8.2, 3.4, 7.5, 0.0, 6.5, 5.9, 1.3, 0.0, 8.8, 0.0, 8.3, 0.0, 10.7, 0.7, 8.9, 5.9, 5.8, 4.6, 9.9, 0.0, 7.0, 3.3, 2.6, 0.0, 11.3, 0.0, 6.8, 0.0, 9.6 
