2019-04-26 00:14:31.972122 3.7, 5.9, 40.0 
 2019-04-26 00:14:33.538217 1.9, 0.0, 2.2 
 2019-04-26 00:14:35.110362 2.6, 0.0, 0.7 
 2019-04-26 00:14:36.654390 50.6, 21.9, 61.2 
 2019-04-26 00:14:38.289055 87.1, 77.1, 88.5 
 2019-04-26 00:14:39.880884 92.5, 80.8, 93.1 
 2019-04-26 00:14:41.510169 92.3, 81.0, 92.4 
 2019-04-26 00:14:43.114738 89.6, 87.6, 71.5 
 2019-04-26 00:14:44.783401 93.1, 80.2, 98.1 
 2019-04-26 00:14:46.396029 89.3, 89.8, 59.4 
 2019-04-26 00:14:48.016051 90.7, 76.5, 82.7 
 2019-04-26 00:14:49.711193 90.4, 82.9, 76.3 
 2019-04-26 00:14:51.406174 91.5, 79.1, 78.0 
 2019-04-26 00:14:53.066437 89.7, 71.1, 93.8 
 2019-04-26 00:14:54.743922 91.8, 63.0, 98.8 
 2019-04-26 00:14:56.492205 92.5, 70.5, 86.6 
 2019-04-26 00:14:58.107676 90.3, 62.8, 98.3 
 2019-04-26 00:14:59.844330 93.5, 70.8, 96.3 
 2019-04-26 00:15:01.555445 91.2, 59.6, 97.0 
 2019-04-26 00:15:03.265026 94.1, 76.3, 97.6 
 2019-04-26 00:15:04.954579 90.7, 58.4, 97.0 
 2019-04-26 00:15:06.638464 94.5, 89.3, 98.1 
 2019-04-26 00:15:08.282299 86.1, 89.2, 57.2 
 2019-04-26 00:15:09.934961 95.9, 82.5, 94.0 
 2019-04-26 00:15:11.639395 93.8, 88.8, 87.6 
 2019-04-26 00:15:13.257185 91.8, 89.2, 69.3 
 2019-04-26 00:15:14.907715 94.4, 88.0, 76.4 
 2019-04-26 00:15:16.589043 95.0, 81.1, 93.1 
 2019-04-26 00:15:18.221016 89.9, 93.5, 43.5 
 2019-04-26 00:15:19.848443 95.8, 85.6, 97.7 
 2019-04-26 00:15:21.558485 92.5, 85.6, 78.3 
 2019-04-26 00:15:23.208182 94.5, 87.7, 83.0 
 2019-04-26 00:15:24.853065 92.1, 90.0, 66.2 
 2019-04-26 00:15:26.548258 95.7, 89.7, 95.6 
 2019-04-26 00:15:28.660193 95.5, 91.2, 95.0 
 2019-04-26 00:15:30.693027 93.8, 91.7, 84.2 
 2019-04-26 00:15:32.694827 96.0, 91.2, 95.5 
 2019-04-26 00:15:34.733031 94.8, 88.5, 97.0 
 2019-04-26 00:15:36.729038 95.6, 80.9, 88.4 
 2019-04-26 00:15:38.349035 91.8, 81.3, 75.8 
 2019-04-26 00:15:39.977027 72.0, 82.5, 62.0 
 2019-04-26 00:15:41.688940 62.0, 47.7, 80.4 
 2019-04-26 00:15:43.325027 60.1, 37.2, 79.3 
 2019-04-26 00:15:44.947188 53.2, 56.1, 83.9 
 2019-04-26 00:15:46.652613 58.2, 58.6, 80.0 
 2019-04-26 00:15:48.240008 62.3, 58.7, 73.0 
 2019-04-26 00:15:49.819993 58.9, 79.0, 46.5 
 2019-04-26 00:15:51.433023 71.8, 73.4, 34.8 
 2019-04-26 00:15:53.084403 64.2, 71.6, 69.2 
 2019-04-26 00:15:54.661345 74.1, 70.8, 40.6 
 2019-04-26 00:15:56.345018 61.8, 77.8, 36.8 
 2019-04-26 00:15:57.896769 64.2, 75.7, 61.2 
 2019-04-26 00:15:59.521282 68.5, 81.2, 48.7 
 2019-04-26 00:16:01.101012 61.6, 70.2, 60.1 
 2019-04-26 00:16:02.671080 55.8, 84.3, 48.8 
 2019-04-26 00:16:04.218580 66.7, 71.7, 66.0 
 2019-04-26 00:16:05.869003 57.9, 81.2, 28.7 
 2019-04-26 00:16:07.558554 1.9, 0.0, 0.7 
 2019-04-26 00:16:09.113593 1.9, 0.0, 1.5 
 
