2019-04-25 23:56:48.216946 2.5, 41.9 
 2019-04-25 23:56:49.794671 2.5, 2.2 
 2019-04-25 23:56:51.361845 2.6, 0.8 
 2019-04-25 23:56:52.905038 69.5, 51.2 
 2019-04-25 23:56:54.720816 98.1, 86.4 
 2019-04-25 23:56:56.860791 99.5, 88.3 
 2019-04-25 23:56:59.089031 82.5, 92.0 
 2019-04-25 23:57:01.214284 98.1, 86.8 
 2019-04-25 23:57:03.309772 99.5, 88.5 
 2019-04-25 23:57:05.424089 86.7, 92.9 
 2019-04-25 23:57:07.524284 99.5, 88.2 
 2019-04-25 23:57:09.730884 96.7, 91.7 
 2019-04-25 23:57:11.860569 99.1, 89.8 
 2019-04-25 23:57:14.120488 92.2, 91.2 
 2019-04-25 23:57:16.290795 97.7, 86.9 
 2019-04-25 23:57:18.451576 100.0, 87.9 
 2019-04-25 23:57:20.637220 98.1, 90.0 
 2019-04-25 23:57:22.703598 99.5, 87.3 
 2019-04-25 23:57:24.825736 99.5, 89.0 
 2019-04-25 23:57:26.967920 99.5, 86.4 
 2019-04-25 23:57:29.089252 99.5, 88.6 
 2019-04-25 23:57:31.283917 99.5, 86.4 
 2019-04-25 23:57:33.392152 98.6, 82.0 
 2019-04-25 23:57:35.466306 100.0, 90.4 
 2019-04-25 23:57:37.556159 99.1, 86.5 
 2019-04-25 23:57:39.687793 99.6, 87.6 
 2019-04-25 23:57:42.032600 81.1, 93.3 
 2019-04-25 23:57:44.096421 99.5, 82.2 
 2019-04-25 23:57:46.171986 91.0, 90.6 
 2019-04-25 23:57:48.297069 98.5, 89.0 
 2019-04-25 23:57:50.282620 99.5, 83.3 
 2019-04-25 23:57:52.342755 100.0, 89.3 
 2019-04-25 23:57:54.479435 96.5, 86.8 
 2019-04-25 23:57:56.460956 89.1, 93.5 
 2019-04-25 23:57:58.351790 91.1, 82.2 
 2019-04-25 23:58:00.254138 85.0, 74.5 
 2019-04-25 23:58:02.098611 87.5, 62.7 
 2019-04-25 23:58:03.919246 91.6, 75.0 
 2019-04-25 23:58:05.810128 90.7, 69.0 
 2019-04-25 23:58:07.707187 89.3, 64.1 
 2019-04-25 23:58:09.588307 91.3, 76.6 
 2019-04-25 23:58:11.474543 87.4, 75.5 
 2019-04-25 23:58:13.386028 90.6, 71.4 
 2019-04-25 23:58:15.170661 89.6, 74.2 
 2019-04-25 23:58:16.957235 89.4, 67.7 
 2019-04-25 23:58:18.913047 91.6, 71.6 
 2019-04-25 23:58:20.814204 91.1, 71.4 
 2019-04-25 23:58:22.721847 55.9, 17.3 
 2019-04-25 23:58:24.282509 3.2, 2.2 
 2019-04-25 23:58:25.838834 2.6, 0.7 
 2019-04-25 23:58:27.410358 1.9, 2.2 
 
