 2019-04-26 01:00:51.850064 48.7, 29.6, 39.9, 3.1, 79.8, 19.5, 1.3, 21.6, 0.0 
 2019-04-26 01:00:53.430548 32.4, 39.9, 31.2, 1.9, 63.3, 17.9, 0.6, 19.3, 5.8 
 2019-04-26 01:00:54.994309 32.0, 26.6, 32.9, 2.5, 58.5, 20.8, 0.0, 19.9, 13.4 
 2019-04-26 01:00:56.590304 36.2, 29.8, 34.3, 2.6, 47.7, 18.2, 0.6, 20.0, 20.1 
 2019-04-26 01:00:58.154083 34.4, 29.2, 33.3, 2.5, 41.5, 18.8, 0.6, 20.3, 17.2 
 2019-04-26 01:00:59.718040 28.6, 25.4, 25.0, 2.5, 58.9, 16.7, 0.0, 19.0, 17.3 
 2019-04-26 01:01:01.306084 34.7, 38.0, 9.9, 10.8, 72.9, 21.3, 6.5, 20.4, 19.5 
 2019-04-26 01:01:02.882692 38.5, 35.7, 0.6, 11.6, 85.1, 25.0, 10.9, 22.7, 18.7 
 2019-04-26 01:01:04.466992 45.1, 27.7, 1.3, 7.2, 70.4, 20.6, 11.7, 21.4, 18.7 
 2019-04-26 01:01:06.033092 33.3, 26.6, 18.1, 17.6, 79.7, 20.0, 0.6, 19.6, 20.9 
 2019-04-26 01:01:07.644508 39.0, 34.3, 22.5, 10.5, 82.9, 24.7, 1.9, 22.8, 26.4 
 2019-04-26 01:01:09.206924 33.1, 32.7, 13.5, 1.9, 69.0, 20.4, 19.0, 21.3, 17.3 
 2019-04-26 01:01:10.779642 1.2, 2.8, 0.6, 2.4, 6.1, 1.2, 1.2, 1.8, 1.2 
 2019-04-26 01:01:12.418798 0.0, 0.0, 0.6, 1.9, 1.3, 0.0, 0.0, 0.0, 0.0 
 
