2019-04-26 00:45:09.320500 3.4, 2.3, 0.0, 30.2, 0.0 
 2019-04-26 00:45:10.930757 1.3, 0.0, 1.4, 0.6, 0.6 
 2019-04-26 00:45:12.509317 1.3, 0.6, 0.0, 0.0, 1.3 
 2019-04-26 00:45:14.056848 45.4, 30.1, 30.4, 0.6, 54.1 
 2019-04-26 00:45:15.723254 67.1, 58.4, 88.0, 23.0, 90.1 
 2019-04-26 00:45:17.399228 76.2, 74.7, 77.4, 73.6, 72.9 
 2019-04-26 00:45:19.133027 74.7, 76.5, 72.9, 75.6, 83.3 
 2019-04-26 00:45:20.901084 76.2, 68.0, 88.2, 65.1, 77.1 
 2019-04-26 00:45:22.691240 72.2, 72.6, 93.1, 30.1, 90.8 
 2019-04-26 00:45:24.388313 69.3, 74.3, 67.1, 69.1, 95.1 
 2019-04-26 00:45:26.121778 65.3, 64.3, 94.5, 30.0, 93.5 
 2019-04-26 00:45:27.980192 71.3, 47.5, 90.7, 45.5, 90.0 
 2019-04-26 00:45:29.642654 66.9, 66.9, 94.5, 34.1, 93.0 
 2019-04-26 00:45:31.482176 67.1, 23.9, 91.5, 55.5, 88.6 
 2019-04-26 00:45:33.139022 70.1, 71.1, 95.9, 29.4, 94.8 
 2019-04-26 00:45:34.810584 65.9, 23.1, 92.5, 64.5, 89.6 
 2019-04-26 00:45:36.618261 58.1, 45.2, 56.7, 36.1, 73.6 
 2019-04-26 00:45:38.340689 69.4, 72.5, 86.7, 64.7, 81.0 
 2019-04-26 00:45:40.137047 69.6, 40.3, 87.1, 74.8, 73.2 
 2019-04-26 00:45:41.774091 66.3, 38.6, 95.2, 67.4, 90.7 
 2019-04-26 00:45:43.569298 66.2, 32.5, 86.3, 48.4, 88.5 
 2019-04-26 00:45:45.217030 46.6, 38.7, 64.5, 48.6, 73.9 
 2019-04-26 00:45:47.005176 62.2, 44.2, 70.6, 63.9, 80.8 
 2019-04-26 00:45:48.728093 73.2, 46.3, 90.9, 70.1, 81.3 
 2019-04-26 00:45:50.424566 70.1, 70.1, 81.9, 63.5, 65.9 
 2019-04-26 00:45:52.127205 71.9, 67.3, 82.1, 63.4, 86.7 
 2019-04-26 00:45:53.817039 76.6, 71.7, 88.1, 77.7, 65.6 
 2019-04-26 00:45:55.508797 72.7, 72.0, 75.5, 73.9, 70.0 
 2019-04-26 00:45:57.199981 77.1, 52.3, 92.0, 40.7, 89.2 
 2019-04-26 00:45:58.995062 75.8, 67.7, 80.8, 52.8, 89.3 
 2019-04-26 00:46:00.708917 74.2, 68.1, 87.8, 57.8, 86.0 
 2019-04-26 00:46:02.446516 77.6, 78.1, 82.5, 78.0, 69.5 
 2019-04-26 00:46:04.161034 77.0, 73.5, 82.4, 75.2, 70.2 
 2019-04-26 00:46:05.821034 76.6, 33.1, 89.6, 76.8, 91.0 
 2019-04-26 00:46:07.608664 77.2, 64.3, 70.6, 67.5, 87.9 
 2019-04-26 00:46:09.248515 73.2, 74.7, 90.2, 29.1, 92.4 
 2019-04-26 00:46:10.955574 82.4, 79.4, 81.2, 77.2, 94.9 
 2019-04-26 00:46:12.700918 68.0, 66.7, 86.1, 16.3, 89.9 
 2019-04-26 00:46:14.331772 82.7, 68.2, 89.1, 83.6, 93.9 
 2019-04-26 00:46:16.152075 67.1, 45.7, 85.3, 64.7, 66.9 
 2019-04-26 00:46:17.843218 51.6, 32.5, 50.8, 26.5, 51.1 
 2019-04-26 00:46:19.472911 61.5, 8.1, 50.4, 0.6, 34.5 
 2019-04-26 00:46:21.096184 39.4, 22.2, 42.3, 25.0, 52.4 
 2019-04-26 00:46:22.761030 42.5, 23.5, 45.5, 24.0, 53.3 
 2019-04-26 00:46:24.351830 50.3, 27.5, 53.2, 14.5, 21.1 
 2019-04-26 00:46:26.013872 43.4, 38.5, 64.1, 2.4, 39.3 
 2019-04-26 00:46:27.710153 54.2, 22.9, 54.6, 36.8, 56.6 
 2019-04-26 00:46:29.330438 57.1, 10.7, 38.7, 13.9, 60.3 
 2019-04-26 00:46:30.941941 52.1, 31.3, 53.7, 7.3, 42.5 
 2019-04-26 00:46:32.621024 59.2, 10.1, 21.9, 29.2, 67.4 
 2019-04-26 00:46:34.262268 59.7, 25.6, 67.2, 0.6, 42.3 
 2019-04-26 00:46:35.863716 32.5, 46.8, 63.2, 1.8, 64.8 
 2019-04-26 00:46:37.513100 53.1, 4.9, 45.9, 11.7, 59.8 
 2019-04-26 00:46:39.164565 60.0, 39.2, 10.4, 2.5, 62.0 
 2019-04-26 00:46:40.792665 62.0, 35.8, 14.3, 6.1, 68.0 
 2019-04-26 00:46:42.450436 53.8, 30.5, 30.8, 0.6, 58.8 
 2019-04-26 00:46:44.077963 26.0, 18.1, 1.8, 1.3, 25.7 
 2019-04-26 00:46:45.634817 0.6, 1.9, 0.0, 0.6, 0.6 
 2019-04-26 00:46:47.185900 0.0, 2.6, 0.7, 0.0, 0.6 
 
