2019-04-26 00:24:14.381493 7.2, 42.9, 2.4 
 2019-04-26 00:24:15.955090 2.6, 1.5, 0.0 
 2019-04-26 00:24:17.517602 1.9, 0.0, 1.3 
 2019-04-26 00:24:19.069285 47.7, 48.8, 52.5 
 2019-04-26 00:24:20.818894 94.9, 96.6, 96.9 
 2019-04-26 00:24:23.442100 94.8, 96.7, 96.8 
 2019-04-26 00:24:25.979019 94.4, 97.4, 95.7 
 2019-04-26 00:24:28.575774 95.1, 98.0, 93.6 
 2019-04-26 00:24:31.282296 94.1, 97.9, 86.6 
 2019-04-26 00:24:33.885000 95.4, 97.5, 92.2 
 2019-04-26 00:24:36.521040 95.2, 98.0, 95.3 
 2019-04-26 00:24:39.282637 95.5, 97.3, 90.9 
 2019-04-26 00:24:42.197040 95.1, 97.6, 92.2 
 2019-04-26 00:24:44.939794 95.7, 97.1, 98.9 
 2019-04-26 00:24:47.573043 95.0, 97.6, 98.2 
 2019-04-26 00:24:50.383755 94.3, 96.4, 93.8 
 2019-04-26 00:24:52.352581 95.7, 96.9, 97.0 
 2019-04-26 00:24:55.407423 96.3, 99.5, 90.0 
 2019-04-26 00:24:59.207783 95.2, 99.1, 87.7 
 2019-04-26 00:25:02.617036 95.8, 98.4, 87.5 
 2019-04-26 00:25:05.260294 93.8, 98.4, 79.2 
 2019-04-26 00:25:08.028234 95.8, 96.7, 93.0 
 2019-04-26 00:25:10.190678 96.4, 96.4, 94.7 
 2019-04-26 00:25:13.306754 96.7, 98.8, 97.5 
 2019-04-26 00:25:16.100794 96.5, 98.1, 87.3 
 2019-04-26 00:25:19.040104 92.9, 97.6, 86.2 
 2019-04-26 00:25:22.177035 71.7, 97.1, 47.2 
 2019-04-26 00:25:23.954933 56.6, 79.8, 55.9 
 2019-04-26 00:25:25.707827 55.6, 78.9, 51.5 
 2019-04-26 00:25:27.500704 59.9, 67.4, 68.0 
 2019-04-26 00:25:29.261027 58.2, 67.7, 70.3 
 2019-04-26 00:25:31.010356 56.9, 70.9, 63.2 
 2019-04-26 00:25:32.813047 56.8, 69.0, 51.6 
 2019-04-26 00:25:34.537052 57.1, 81.7, 47.0 
 2019-04-26 00:25:36.367591 64.8, 73.3, 42.1 
 2019-04-26 00:25:38.089011 60.0, 70.8, 60.0 
 2019-04-26 00:25:39.816791 60.3, 67.7, 62.4 
 2019-04-26 00:25:41.584597 58.6, 73.0, 52.8 
 2019-04-26 00:25:43.304407 53.0, 63.8, 62.8 
 2019-04-26 00:25:45.048091 57.1, 69.6, 54.7 
 2019-04-26 00:25:46.813045 61.8, 86.9, 47.2 
 2019-04-26 00:25:48.557228 44.4, 46.3, 41.9 
 2019-04-26 00:25:50.183990 0.0, 0.7, 2.6 
 2019-04-26 00:25:51.738963 0.0, 1.5, 2.6 
 2019-04-26 00:25:53.306750 0.6, 0.7, 2.6 
 
