2019-04-26 00:03:18.167769 25.3, 19.0 
 2019-04-26 00:03:19.725977 3.2, 2.2 
 2019-04-26 00:03:21.282297 3.8, 1.5 
 2019-04-26 00:03:22.838909 68.7, 48.0 
 2019-04-26 00:03:24.711054 100.0, 87.6 
 2019-04-26 00:03:26.731653 99.0, 87.4 
 2019-04-26 00:03:28.780772 99.0, 87.0 
 2019-04-26 00:03:30.818243 94.5, 90.1 
 2019-04-26 00:03:33.187505 98.7, 85.3 
 2019-04-26 00:03:35.427292 94.5, 88.4 
 2019-04-26 00:03:37.596609 95.9, 88.1 
 2019-04-26 00:03:39.800897 99.0, 86.1 
 2019-04-26 00:03:41.845282 94.9, 88.1 
 2019-04-26 00:03:43.981047 98.6, 86.2 
 2019-04-26 00:03:46.065055 98.5, 89.0 
 2019-04-26 00:03:48.061041 98.1, 87.0 
 2019-04-26 00:03:50.173942 99.6, 88.6 
 2019-04-26 00:03:52.460800 100.0, 86.0 
 2019-04-26 00:03:54.545056 99.5, 87.9 
 2019-04-26 00:03:56.704309 99.1, 86.5 
 2019-04-26 00:03:58.886008 99.0, 86.8 
 2019-04-26 00:04:00.984047 100.0, 87.4 
 2019-04-26 00:04:03.307558 99.1, 86.8 
 2019-04-26 00:04:05.466140 100.0, 87.8 
 2019-04-26 00:04:07.599486 99.5, 85.4 
 2019-04-26 00:04:09.678529 99.6, 88.8 
 2019-04-26 00:04:12.000251 100.0, 87.0 
 2019-04-26 00:04:14.049067 90.6, 89.2 
 2019-04-26 00:04:16.393061 99.0, 86.9 
 2019-04-26 00:04:18.429051 92.8, 85.6 
 2019-04-26 00:04:20.498969 84.3, 92.0 
 2019-04-26 00:04:22.661052 100.0, 84.1 
 2019-04-26 00:04:24.588067 89.0, 82.0 
 2019-04-26 00:04:26.660792 90.5, 95.7 
 2019-04-26 00:04:28.690058 91.3, 77.2 
 2019-04-26 00:04:30.675147 91.8, 71.7 
 2019-04-26 00:04:32.488308 89.6, 72.2 
 2019-04-26 00:04:34.285714 89.3, 65.6 
 2019-04-26 00:04:36.159233 79.7, 81.8 
 2019-04-26 00:04:37.968665 76.7, 79.8 
 2019-04-26 00:04:39.729000 74.9, 73.6 
 2019-04-26 00:04:41.503025 88.6, 68.4 
 2019-04-26 00:04:43.367788 91.9, 75.0 
 2019-04-26 00:04:45.225317 79.6, 74.0 
 2019-04-26 00:04:47.067007 81.8, 78.8 
 2019-04-26 00:04:48.831902 87.4, 71.7 
 2019-04-26 00:04:50.624433 90.4, 69.8 
 2019-04-26 00:04:52.517032 63.9, 26.8 
 2019-04-26 00:04:54.093339 2.6, 0.0 
 2019-04-26 00:04:55.649609 3.2, 0.0 
 2019-04-26 00:04:57.235422 3.2, 2.2 
 
